orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
252794,2018-02-06 10:47:17.773000+00:00,117507,117535,6,4,182157.0,Not VIP,7,1,0.0,7,No,No,No,T4,,No,3,1,0,No,135803,463,Sunglasses,567,8,6,Accessories,web,0.0
225070,2018-02-01 07:53:20.606000+00:00,7379,7384,2,2,33559.0,VIP,5,3,0.0,5,Yes,No,Yes,T1,T1,Yes,4,1,1,Yes,7732,2,Other,1201,1,6,Accessories,web,1.0
275845,2018-02-10 10:58:24.653000+00:00,2102,2105,1,3,42468.0,Not VIP,4,3,0.0,4,Yes,No,No,T2,T2,No,4,1,1,No,2162,46," T-shirts, singlets and other vests",33,21,33,Clothing,app,0.0
94142,2018-01-11 13:07:51.516000+00:00,65070,65087,1,3,76701.0,Not VIP,9,3,0.0,9,Yes,No,No,T4,,No,3,1,1,No,72764,86,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",208,3,63,Clothing,web,0.0
116735,2018-01-13 07:43:55.676000+00:00,70026,70043,2,2,92582.0,Not VIP,24,3,0.0,24,Yes,No,Yes,T4,,No,3,921,1,Yes,78471,87,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",211,1,6,Bags,app,1.0
52754,2018-01-08 13:45:54.053000+00:00,43293,43304,2,2,27876.0,VIP,5,3,0.0,5,Yes,No,Yes,T2,T2,No,3,921,1,Yes,47755,1115,"Trousers, overalls, shorts",209,2,8,Clothing,web,0.0
392187,2018-01-22 02:20:19.600000+00:00,8607,8612,5,1,263834.0,Not VIP,1,1,0.0,1,No,No,No,,,No,3,1,1,Yes,9058,203,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",226,2,35,Clothing,web,1.0
226089,2018-02-01 12:30:43.643000+00:00,2589,2592,2,2,165656.0,Not VIP,24,3,0.0,24,Yes,No,No,T4,,No,3,1,1,No,84874,87,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",440,2,6,Accessories,web,0.0
294664,2018-02-14 11:08:13.276000+00:00,64012,64029,2,2,6589.0,VIP New,5,3,0.0,5,Yes,No,Yes,VIP,VIP,No,2,1,1,Yes,71549,64,N/D,1077,2,196,Girls Clothing,app,0.0
72195,2018-01-09 17:46:35.816000+00:00,7086,7090,2,2,60175.0,Not VIP,5,3,0.0,5,Yes,No,Yes,T4,,No,3,921,1,Yes,7423,19,,106,1,120,Clothing,app,0.0
395622,2018-01-16 17:14:38.770000+00:00,77532,77550,2,2,101539.0,Not VIP,31,1,40.5563,31,No,No,No,T4,,No,4,1,1,No,87200,92,Articles of a kind normally carried in the pocket or in the handbag,15,1,6,Accessories,,1.0
163961,2018-01-21 17:54:15.016000+00:00,31159,31167,3,15,123662.0,Not VIP,4,3,0.0,4,Yes,No,No,,,Yes,3,1,1,No,33995,92,"Shawls, scarves, mufflers, mantillas, veils and similar articles",902,1,6,Accessories,,0.0
