orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
67346,2018-01-09 11:35:36.860000+00:00,20152,20158,2,2,511.0,VIP New,12,4,35.7236,12,Yes,No,Yes,VIP,VIP,No,6,1,1,No,21601,184,"Trousers, overalls, shorts",27,14,34,Clothing,app,0.0
211365,2018-01-29 22:36:06.920000+00:00,7118,7122,1,3,156478.0,Not VIP,11,3,0.0,11,No,No,No,T4,,No,3,1,1,Yes,7455,5,Footwear with outer soles of rubber or plastics,1092,1,158,Shoes,web,0.0
227142,2018-02-01 15:37:53.230000+00:00,109994,110018,2,2,1484.0,VIP New,1,1,33.3833,1,Yes,No,No,T1,T1,No,3,1,1,Yes,126610,492,Skirts,202,2,228,Clothing,app,0.0
75119,2018-01-09 22:55:52.263000+00:00,2369,2372,2,2,62260.0,VIP,3,2,0.0,3,Yes,No,No,T2,T2,No,3,924,1,Yes,2438,36,Other footwear,127,1,549,Shoes,web,0.0
89460,2018-01-11 02:56:58.020000+00:00,11798,11803,2,2,6199.0,Not VIP,48,4,0.0,48,Yes,Yes,Yes,VIP,VIP,No,6,921,1,Yes,70436,85,N/D,114,1,76,Shoes,app,0.0
5345,2018-01-02 08:31:38.303000+00:00,4985,4989,2,2,5077.0,Not VIP,12,4,35.7236,12,Yes,No,No,T4,,Yes,3,1,1,No,9651,87,Swimwear,364,1,55,Clothing,web,1.0
400896,2018-02-15 17:03:54.596000+00:00,155701,155734,2,2,77875.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T4,T4,No,3,1,1,No,183347,106,,480,20,125,Clothing,web,1.0
191395,2018-01-26 09:00:49.036000+00:00,39203,39213,1,3,10809.0,VIP,20,3,0.0,20,No,No,No,T1,T1,Yes,4,1,1,Yes,100597,413,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",419,24,8,Clothing,,0.0
171343,2018-01-22 23:19:19.190000+00:00,11497,11502,2,2,130394.0,Not VIP,2,1,42.2351,2,Yes,No,No,T4,,No,4,1,1,No,12156,87," T-shirts, singlets and other vests",187,1,3,Clothing,,1.0
380577,2018-01-05 06:35:36.433000+00:00,22362,22370,2,9,258055.0,Not VIP,24,3,0.0,24,Yes,No,No,T4,T4,No,4,1,1,Yes,70927,52,"Handbags, whether or not with shoulder strap, including those without handle",381,1,17,Bags,web,1.0
154399,2018-01-19 22:51:39.883000+00:00,43155,43166,2,2,87303.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T2,T2,No,3,1,1,No,47597,165,"Trousers, overalls, shorts",33,25,14,Clothing,app,0.0
130167,2018-01-15 21:02:39.556000+00:00,25506,25514,2,2,51313.0,Not VIP,16,4,0.0,16,Yes,No,Yes,T3,T3,Yes,3,1,1,Yes,27627,60," T-shirts, singlets and other vests",62,4,2,Clothing,web,0.0
