orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
400500,2018-01-29 15:15:56.636000+00:00,89958,89980,2,2,69893.0,Not VIP,12,4,15.8464,12,Yes,No,No,T1,T1,Yes,4,1,1,No,102026,14,Footwear with outer soles of rubber or plastics,48,1,38,Shoes,app,1.0
377141,2018-01-08 23:58:43.480000+00:00,47197,47209,2,2,215321.0,VIP,1,1,5.0083,1,Yes,No,Yes,T1,T1,Yes,3,1,1,No,52190,1453,"Trousers, overalls, shorts",375,2,18,Clothing,app,1.0
176238,2018-01-23 19:35:54.256000+00:00,16993,17000,2,2,106142.0,Not VIP,20,3,0.0,20,Yes,No,No,T2,T2,No,4,1,1,Yes,18128,163,"Trousers, overalls, shorts",398,26,8,Clothing,app,0.0
121495,2018-01-14 01:36:47.553000+00:00,31102,31110,3,4,6681.0,Not VIP,7,1,0.0,7,Yes,No,Yes,T1,T1,Yes,7,1,0,Yes,33930,634,N/D,786,8,146,Clothing,web,0.0
251988,2018-02-06 06:36:08.843000+00:00,117262,117291,2,2,181697.0,Not VIP,4,3,0.0,4,No,No,Yes,T4,T4,No,3,1,1,No,135518,186,"Blouses, shirts and shirt-blouses",75,12,9,Clothing,web,0.0
4301,2018-01-02 01:56:05.020000+00:00,1874,1877,4,2,4118.0,Not VIP,3,2,0.0,3,Yes,No,No,T3,T3,No,4,1,1,Yes,1928,386,,430,20,217,Shoes,,1.0
377068,2018-02-14 14:54:43.746000+00:00,149357,149390,2,2,113683.0,Not VIP,1,1,0.0,1,Yes,No,No,T4,T4,Yes,2,1,1,Yes,175631,1325,Other footwear,713,1,334,Shoes,web,1.0
225291,2018-02-01 08:54:23.506000+00:00,57374,57387,2,2,30252.0,Not VIP,30,3,11.0003,30,No,No,No,T2,T3,Yes,4,1,1,No,63832,904,Other footwear,186,4,53,Shoes,web,1.0
374973,2018-01-04 11:11:14.823000+00:00,19099,19105,2,2,255175.0,Not VIP,17,4,24.3652,17,No,No,No,,,No,3,1,1,No,20453,389,Footwear with outer soles of rubber or plastics,153,26,183,Shoes,web,1.0
244595,2018-02-04 21:35:21.436000+00:00,15875,15882,2,2,70827.0,Not VIP,55,3,0.0,55,No,No,No,T4,T4,Yes,3,1,1,Yes,16909,94,"Trousers, overalls, shorts",335,1,3,Clothing,web,0.0
398213,2018-01-27 22:10:45.300000+00:00,53659,53671,1,3,266735.0,Not VIP,4,3,0.0,4,No,No,No,,,No,4,1,1,Yes,59558,189,"Trousers, overalls, shorts",1078,2,317,Clothing,web,1.0
402252,2018-01-08 00:40:51.630000+00:00,156053,156086,3,4,268588.0,Not VIP,7,1,0.0,7,Yes,No,Yes,T4,T4,Yes,8,1,0,Yes,183776,241,N/D,263,44,270,Clothing,web,1.0
189428,2018-01-25 22:35:50.990000+00:00,55064,55076,2,2,142191.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T4,T4,No,3,1,1,No,61168,87,,249,20,6,Jewellery,app,0.0
115272,2018-01-13 04:40:57.043000+00:00,64252,64269,2,2,91624.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,Yes,3,921,1,Yes,71822,389,Footwear with outer soles of rubber or plastics,38,2,25,Shoes,app,1.0
4244,2018-01-02 01:35:30.836000+00:00,7468,7473,2,2,4062.0,VIP New,1,1,5.0083,1,Yes,No,Yes,T1,T2,Yes,3,1,1,No,7830,46," T-shirts, singlets and other vests",106,4,202,Clothing,web,1.0
288301,2018-02-13 02:29:56.016000+00:00,76516,76534,2,2,204152.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,No,3,1,1,No,86031,303," T-shirts, singlets and other vests",344,2,8,Clothing,,0.0
378455,2018-01-08 09:14:57.953000+00:00,151327,151360,2,2,256942.0,Not VIP,5,3,0.0,5,Yes,No,Yes,,,No,3,921,1,Yes,178009,769,N/D,78,20,71,Clothing,app,1.0
37245,2018-01-07 09:20:32.926000+00:00,32184,32193,2,2,32719.0,VIP New,16,4,17.0858,16,No,No,No,T4,,No,3,1,1,No,35141,87,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",185,3,14,Clothing,,0.0
306671,2018-02-16 20:35:42.786000+00:00,24035,24043,4,2,91421.0,Not VIP,16,4,15.4853,16,Yes,No,No,T2,T3,No,3,1,1,Yes,43111,348,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",22,4,182,Clothing,,0.0
168624,2018-01-22 14:03:22.740000+00:00,7580,7585,2,2,128510.0,Not VIP,1,1,5.0083,1,No,No,No,T4,,No,3,1,1,No,14006,398,N/D,85,20,9,Clothing,web,0.0
6856,2018-01-02 14:04:53.523000+00:00,8260,8265,2,2,6359.0,Not VIP,4,3,11.2405,4,No,No,No,T4,,No,4,1,1,No,8669,92,,152,1,293,Accessories,app,0.0
370726,2018-01-16 04:37:59.740000+00:00,19818,19824,2,2,164918.0,VIP,19,4,0.0,19,Yes,No,No,T2,T2,Yes,4,1,1,No,21235,19,Footwear with outer soles of rubber or plastics,11,1,12,Shoes,app,1.0
3286,2018-01-01 20:02:11.850000+00:00,151451,151484,5,5,3146.0,VIP New,11,3,0.0,11,Yes,No,Yes,T2,T2,Yes,4,1,1,No,178160,46,Sunglasses,259,21,362,Accessories,app,1.0
217013,2018-01-30 21:28:29.693000+00:00,34254,34263,2,2,48310.0,VIP New,1,1,12.6688,1,Yes,No,No,VIP,VIP,No,6,1,1,No,179066,85,"Handbags, whether or not with shoulder strap, including those without handle",741,1,17,Bags,,1.0
188025,2018-01-25 17:33:28.516000+00:00,48564,48576,2,2,117870.0,Not VIP,29,3,0.0,29,No,No,No,T4,T4,No,3,1,1,Yes,53756,73,"Blouses, shirts and shirt-blouses",465,1,43,Clothing,,0.0
150138,2018-01-19 06:41:48.306000+00:00,86600,86622,1,3,101034.0,Not VIP,14,3,0.0,14,Yes,No,No,T4,T4,No,3,1,1,No,98039,182,"Trousers, overalls, shorts",245,3,150,Clothing,app,0.0
389762,2018-02-04 14:33:02.573000+00:00,84661,84682,2,2,187908.0,Not VIP,1,1,5.0083,1,No,No,No,,,Yes,3,1,1,No,92196,16,"Blouses, shirts and shirt-blouses",15,4,33,Clothing,web,1.0
386788,2018-01-27 21:35:23.130000+00:00,95947,95970,5,3,261151.0,Not VIP,9,3,0.0,9,No,No,No,T4,,Yes,3,1,1,No,109238,231,"Trousers, overalls, shorts",8,3,14,Clothing,web,1.0
282767,2018-02-11 22:22:24.606000+00:00,125331,125361,2,2,10798.0,Not VIP,5,3,0.0,5,Yes,No,No,T3,T4,No,3,1,1,Yes,145720,182,Dresses,245,36,33,Clothing,web,0.0
5697,2018-01-02 10:15:31.426000+00:00,13363,13370,2,2,5392.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,Yes,3,1,1,Yes,14160,23,Other footwear,274,26,387,Shoes,web,1.0
219032,2018-01-31 07:53:10.840000+00:00,34090,34099,2,2,161253.0,Not VIP,5,3,0.0,5,Yes,No,Yes,T4,T4,Yes,4,1,1,Yes,37333,87," T-shirts, singlets and other vests",106,1,8,Clothing,web,1.0
257065,2018-02-07 01:30:12.126000+00:00,81688,81708,2,2,26728.0,VIP,5,3,0.0,5,Yes,No,No,T2,T2,Yes,3,4942,1,No,137243,452,,216,20,9,Clothing,web,0.0
390131,2018-01-06 05:42:49.513000+00:00,27690,27698,2,2,54419.0,Not VIP,16,4,15.4853,16,No,No,No,,,No,3,1,1,Yes,30087,84,"Coats: overcoats, raincoat, cape, cloaks and similar articles",398,1,47,Clothing,web,1.0
376967,2018-02-18 19:50:54.046000+00:00,115544,115571,1,1,256202.0,Not VIP,1,1,0.0,1,Yes,No,Yes,,,No,3,1,1,No,133397,1127,Dresses,27,2,18,Clothing,app,1.0
402179,2018-01-03 21:12:08.810000+00:00,156026,156059,1,3,183081.0,VIP,4,3,0.0,4,Yes,No,No,T2,T2,Yes,3,1,1,Yes,183740,27,Other footwear,22,2,28,Shoes,web,1.0
107524,2018-01-12 14:37:57.333000+00:00,153746,153778,2,2,86099.0,Not VIP,9,3,0.0,9,No,No,No,T4,,Yes,4,924,1,Yes,180951,87,,197,1,18,Clothing,web,1.0
315264,2018-02-18 18:53:35.433000+00:00,41525,41535,2,2,220517.0,Not VIP,5,3,0.0,5,Yes,No,Yes,T4,,No,3,5091,1,Yes,45759,183,,459,12,295,Clothing,app,0.0
375910,2018-01-18 16:51:54.686000+00:00,64025,64042,1,3,83952.0,VIP,9,3,0.0,9,Yes,No,Yes,T1,T1,Yes,3,1,1,No,71565,296,Other footwear with outer soles of leather,53,1,12,Shoes,web,1.0
120257,2018-01-13 18:14:17.026000+00:00,1315,1317,3,2,95117.0,Not VIP,1,1,5.0083,1,No,No,No,,,No,3,1,1,No,1346,2," T-shirts, singlets and other vests",341,4,14,Clothing,web,0.0
373651,2018-01-22 06:06:18.803000+00:00,91929,91951,2,2,127179.0,Not VIP,19,4,0.0,19,Yes,No,Yes,,,Yes,3,1,1,Yes,104356,552,Items of leather clothing & accessories,487,2,304,Clothing,web,1.0
187157,2018-01-25 15:00:26.040000+00:00,8970,8975,2,2,140656.0,Not VIP,19,4,0.0,19,Yes,No,No,T2,T3,Yes,4,1,1,No,9447,1026,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",1064,2,10,Teen Boy Clothing,web,0.0
402257,2018-01-20 07:12:43.256000+00:00,43848,43860,6,13,119779.0,Not VIP,1,1,0.0,1,Yes,No,No,,,No,4,1,1,No,160156,53," T-shirts, singlets and other vests",772,1,8,Clothing,web,1.0
7348,2018-01-02 15:41:03.120000+00:00,448,450,2,2,6789.0,Not VIP,14,3,0.0,14,Yes,No,Yes,T2,T3,Yes,4,181,1,No,6332,198,"Coats: overcoats, raincoat, cape, cloaks and similar articles",44,1,18,Clothing,web,1.0
159057,2018-01-20 19:31:23.553000+00:00,57703,57716,5,2,121998.0,Not VIP,1,1,5.0083,1,No,No,Yes,T4,,No,3,1,1,Yes,64201,261,"Trousers, overalls, shorts",293,12,40,Clothing,web,1.0
192149,2018-01-26 12:16:30.763000+00:00,2921,2924,1,3,143864.0,Not VIP,24,3,0.0,24,No,No,Yes,T4,,No,3,1,1,Yes,5001,462,"T-shirts, singlets and other vests",1216,1,48,Boys Clothing,web,0.0
186131,2018-01-25 12:11:27.463000+00:00,98014,98037,2,2,47782.0,Not VIP,5,3,0.0,5,Yes,No,No,T2,T2,No,3,1,1,Yes,111823,535,"Babies' Dresses or skirts, except those imported as parts of sets",65,1,285,Baby Girl Clothing,,0.0
309581,2018-02-17 14:16:55.896000+00:00,62210,62226,2,2,216925.0,Not VIP,1,1,0.0,1,Yes,No,No,T3,T3,No,4,1,1,No,77519,28,,102,12,2,Clothing,,1.0
309673,2018-02-17 14:42:57.230000+00:00,103996,104017,2,2,216984.0,Not VIP,1,1,0.0,1,No,No,Yes,T4,,No,3,5082,1,No,126285,129,"Other e.g. braces, suspenders, garters and similar articles",1225,1,1118,Girls Accessories,web,0.0
263706,2018-02-08 07:12:29.503000+00:00,22543,22551,2,2,188842.0,Not VIP,46,4,5.008,46,No,No,No,T3,T4,No,3,1,1,No,24272,13,"Babies' Sweaters, pullovers, sweatshirts, waistcoats (vests) and similar articles, except those imported as parts of sets",534,2,171,Baby Boy Clothing,web,0.0
265683,2018-02-08 14:45:13.423000+00:00,102784,102806,2,2,190033.0,Not VIP,19,4,0.0,19,No,No,No,T4,,No,3,1,1,No,117666,189,,359,204,6,Accessories,,0.0
404856,2018-02-06 02:49:36.970000+00:00,135398,135429,1,1,269843.0,Not VIP,1,1,0.0,1,No,No,No,T4,,No,3,1,1,No,158139,772,Dresses,451,2,159,Clothing,web,1.0
126808,2018-01-15 07:46:17.333000+00:00,238,238,2,2,99962.0,VIP New,39,4,7.6715,39,Yes,No,Yes,T2,T2,No,3,1,1,No,239,11,,86,20,8,Clothing,app,1.0
257538,2018-02-07 03:51:30.043000+00:00,94738,94761,2,2,185116.0,Not VIP,16,4,10.6755,16,Yes,No,No,T3,T3,Yes,3,4951,1,No,107789,61,"Of base metal, whether or not plated with precious metal",816,1,6,Jewellery,web,0.0
399655,2018-01-09 11:21:52.870000+00:00,13486,13493,2,2,151400.0,Not VIP,5,3,0.0,5,Yes,No,Yes,T2,T2,Yes,3,924,1,Yes,14303,9," T-shirts, singlets and other vests",15,1,19,Clothing,web,1.0
280596,2018-02-11 12:35:46.953000+00:00,5797,5801,2,2,199257.0,Not VIP,14,3,0.0,14,Yes,No,No,T4,T4,No,4,1,1,No,89161,70,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",695,10,14,Clothing,,0.0
295960,2018-02-14 16:25:41.670000+00:00,97492,97515,2,2,30976.0,VIP,1,1,0.0,1,Yes,No,Yes,T1,T1,No,4,1,1,No,138987,528,"Trousers, overalls, shorts",372,2,179,Clothing,app,0.0
50952,2018-01-08 12:26:09.183000+00:00,42098,42108,2,2,43854.0,VIP New,1,1,0.0,1,Yes,No,Yes,T1,T1,Yes,4,921,1,Yes,46402,205,Skirts,227,1,42,Clothing,web,0.0
405387,2018-01-24 20:00:25.850000+00:00,73280,73298,2,2,12044.0,VIP New,1,1,20.8384,1,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,82233,2,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",238,4,8,Clothing,web,1.0
261075,2018-02-07 18:33:18.510000+00:00,148168,148201,6,2,171705.0,Not VIP,4,3,45.2326,4,Yes,No,No,T3,T3,No,4,4185,1,No,174201,767,Swimwear,909,8,223,Clothing,app,1.0
78132,2018-01-10 06:39:44.506000+00:00,151606,151639,2,2,9134.0,Not VIP,12,4,35.7236,12,Yes,Yes,Yes,T2,T2,Yes,3,921,1,Yes,178344,1935,Jackets and blazers,1075,2,14,Clothing,,1.0
242307,2018-02-04 13:32:11.403000+00:00,82921,82942,5,2,12255.0,VIP New,12,4,31.0431,12,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,93680,37,Other,36,1,17,Bags,app,1.0
379461,2018-01-24 18:25:33.966000+00:00,81406,81426,2,2,257475.0,Not VIP,1,1,5.0083,1,No,No,No,,,No,4,1,1,No,91892,5,Other footwear,1078,1,38,Shoes,web,1.0
12856,2018-01-03 14:08:14.180000+00:00,13972,13979,2,2,11714.0,Not VIP,12,4,0.0,12,Yes,Yes,Yes,VIP,VIP,Yes,6,294,1,No,13046,33,Other footwear,174,1,25,Shoes,app,0.0
392158,2018-02-11 17:13:33.703000+00:00,2943,2946,2,2,214186.0,Not VIP,55,3,0.0,55,Yes,No,No,,,No,3,1,1,No,3031,81,Footwear with outer soles of rubber or plastics,238,1,31,Shoes,web,1.0
187541,2018-01-25 16:05:13.736000+00:00,50118,50130,2,2,140901.0,Not VIP,31,1,46.557,31,Yes,No,No,T4,,No,1,1,1,Yes,55492,113,Shirts,184,1,351,Clothing,web,0.0
148546,2018-01-18 22:16:10.046000+00:00,86094,86116,5,3,114928.0,Not VIP,24,3,0.0,24,Yes,No,No,T3,T3,Yes,3,1,1,No,97439,64,N/D,22,2,196,Girls Clothing,app,0.0
259090,2018-02-07 12:22:10.350000+00:00,111474,111500,2,2,186014.0,Not VIP,18,4,0.0,18,Yes,No,No,T4,,Yes,3,1,1,No,128405,33,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",1198,4,8,Clothing,app,1.0
22342,2018-01-05 00:09:13.130000+00:00,21789,21797,4,2,20029.0,Not VIP,5,3,0.0,5,No,No,Yes,T4,T4,Yes,3,1,1,Yes,23425,124,"Handbags, whether or not with shoulder strap, including those without handle",306,1,17,Bags,web,0.0
402845,2018-01-22 00:29:56.733000+00:00,73543,73561,4,2,268872.0,Not VIP,1,1,0.0,1,Yes,No,No,T2,T2,Yes,4,1,1,No,82545,189,,39,125,14,Clothing,web,1.0
286500,2018-02-12 17:45:39.750000+00:00,23440,23448,2,2,203001.0,Not VIP,5,3,0.0,5,Yes,No,No,T2,T2,Yes,4,5482,1,Yes,25262,1076,,895,27,18,Clothing,web,0.0
47608,2018-01-08 09:51:20.783000+00:00,6252,6256,2,2,41195.0,VIP,15,4,12.9314,15,No,No,Yes,T1,T1,Yes,4,921,1,Yes,6519,2,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",149,1,3,Clothing,web,1.0
