orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
381744,2018-01-07 19:12:11.840000+00:00,5518,5522,1,6,258628.0,Not VIP,1,1,0.0,1,No,No,No,T4,,No,3,1,1,No,13687,6,Footwear with outer soles of rubber or plastics,968,1,11,Shoes,web,1.0
391026,2018-01-27 12:54:02.870000+00:00,142865,142897,2,2,177614.0,Not VIP,7,1,0.0,7,Yes,No,No,T2,T2,No,8,1,0,No,167483,6,N/D,22,1,409,Jewellery,app,1.0
221086,2018-01-31 15:10:32.966000+00:00,121764,121793,2,2,162517.0,Not VIP,30,3,15.8176,30,No,No,Yes,T3,,No,3,1,1,No,141248,1490,Dresses,325,9,57,Clothing,,1.0
251959,2018-02-06 06:26:31.303000+00:00,8997,9002,2,2,181677.0,Not VIP,5,3,0.0,5,Yes,No,Yes,T4,,No,3,4185,1,No,117622,279,"Babies' T-shirts, singlets and similar garments, except those imported as parts of sets",1216,4,116,Baby Boy Clothing,app,0.0
125257,2018-01-14 21:50:02.080000+00:00,24830,24838,2,2,50569.0,VIP New,9,3,0.0,9,No,No,No,VIP,VIP,Yes,3,1,1,Yes,26845,39,"Coats: overcoats, raincoat, cape, cloaks and similar articles",22,39,33,Clothing,web,1.0
184493,2018-01-25 04:50:36.290000+00:00,25921,25929,2,2,138910.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T4,,No,4,1,1,Yes,28091,25,"Trousers, overalls, shorts",33,6,135,Clothing,web,1.0
374443,2018-02-05 15:11:38.073000+00:00,31564,31572,2,2,8523.0,VIP New,1,1,5.0083,1,Yes,No,Yes,T1,T1,Yes,6,1,1,Yes,34455,105,Footwear with outer soles of rubber or plastics,22,1,12,Shoes,web,1.0
264463,2018-02-08 10:26:17.823000+00:00,4528,4532,2,2,189276.0,Not VIP,46,4,5.008,46,Yes,No,No,T4,,Yes,3,1,1,Yes,111485,73,Other footwear with outer soles of leather,76,1,38,Shoes,web,0.0
370792,2018-01-03 17:25:11.340000+00:00,829,831,2,2,7870.0,Not VIP,25,3,0.0,25,No,No,Yes,,,Yes,2,1,1,Yes,840,293,"Handbags, whether or not with shoulder strap, including those without handle",113,1,17,Bags,,1.0
94477,2018-01-11 13:34:16.793000+00:00,6950,6954,2,2,28135.0,Not VIP,141,6,0.0,140,Yes,Yes,Yes,VIP,VIP,Yes,6,1,1,No,7268,92," T-shirts, singlets and other vests",15,1,14,Clothing,app,0.0
