orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
66904,2018-01-09 10:52:59.540000+00:00,52220,52232,2,2,56216.0,Not VIP,3,2,0.0,3,No,No,Yes,T4,T4,Yes,3,924,1,Yes,1761,189,N/D,32,5,24,Clothing,web,0.0
132246,2018-01-16 07:50:07.076000+00:00,18912,18918,2,2,65558.0,Not VIP,19,4,28.7029,19,Yes,No,No,T2,T2,No,4,1,1,No,10647,814,"Handbags, whether or not with shoulder strap, including those without handle",164,1,17,Bags,,1.0
374557,2018-01-10 13:44:45.090000+00:00,59480,59494,2,2,243390.0,Not VIP,19,4,0.0,19,Yes,No,Yes,,,No,3,924,1,Yes,66276,565,Other footwear,535,1,58,Shoes,web,1.0
107347,2018-01-12 14:23:23.653000+00:00,70390,70407,2,2,55356.0,Not VIP,70,3,0.0,70,Yes,No,Yes,T2,T2,Yes,3,924,1,Yes,78881,1055,Babies' Outerwear,203,2,171,Baby Girl Clothing,web,0.0
88073,2018-01-10 22:59:14.873000+00:00,62395,62411,2,2,72346.0,VIP,1,1,5.0083,1,Yes,No,Yes,VIP,VIP,No,6,924,1,No,69666,326,Other footwear with outer soles of leather,161,1,38,Shoes,web,0.0
257415,2018-02-07 03:19:18.290000+00:00,17220,17227,2,2,185035.0,Not VIP,3,2,0.0,3,Yes,No,Yes,T4,,Yes,3,1,1,Yes,18377,84,N/D,145,1,31,Shoes,web,0.0
206053,2018-01-29 01:10:04.030000+00:00,219,219,2,2,4954.0,Not VIP,12,4,0.0,12,Yes,Yes,Yes,VIP,VIP,Yes,6,1,1,No,93263,131," T-shirts, singlets and other vests",22,4,24,Clothing,web,0.0
390276,2018-01-17 07:56:13.103000+00:00,23033,23041,2,2,66019.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,Yes,3,1,1,Yes,12363,443,"Coats: overcoats, raincoat, cape, cloaks and similar articles",174,1,114,Clothing,,1.0
403487,2018-02-02 19:38:47.860000+00:00,8526,8531,2,2,159365.0,Not VIP,9,3,0.0,9,No,No,No,,,No,3,1,1,Yes,8971,402,"Trousers, overalls, shorts",72,2,66,Clothing,web,1.0
92422,2018-01-11 09:58:21.930000+00:00,151157,151190,1,3,75471.0,VIP,9,3,0.0,9,Yes,No,No,T1,T2,Yes,4,924,1,Yes,177798,365,Dresses,22,2,18,Clothing,web,1.0
384839,2018-01-10 16:42:19.763000+00:00,18171,18178,2,2,58528.0,Not VIP,19,4,0.0,19,Yes,No,No,T4,T4,Yes,3,921,1,Yes,19415,132,Dresses,24,2,18,Clothing,app,1.0
379130,2018-02-15 03:54:14.686000+00:00,149888,149921,2,2,7500.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,No,3,1,1,Yes,176275,39,"Trousers, overalls, shorts",267,36,33,Clothing,app,1.0
110426,2018-01-12 18:35:28.980000+00:00,68694,68711,3,1,88193.0,Not VIP,1,1,0.0,1,No,No,No,,,No,3,924,1,Yes,76930,929,Other footwear with outer soles of leather,303,10,689,Shoes,web,0.0
124964,2018-01-14 20:37:02.960000+00:00,50914,50926,2,2,11000.0,VIP New,19,4,0.0,19,Yes,No,Yes,T1,T1,Yes,6,1,1,Yes,70799,227,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",72,2,27,Clothing,web,1.0
375803,2018-02-17 10:46:55.863000+00:00,83669,83690,2,2,196899.0,Not VIP,25,3,0.0,25,Yes,No,No,T3,T3,Yes,3,1,1,No,94560,92,"Other e.g. braces, suspenders, garters and similar articles",182,1,685,Accessories,web,1.0
227667,2018-02-01 17:14:42.550000+00:00,2265,2268,1,3,122747.0,Not VIP,11,3,0.0,11,No,No,No,T4,T4,No,3,1,1,No,6901,310,"Trousers, overalls, shorts",22,59,2,Clothing,,0.0
62892,2018-01-09 03:18:29.870000+00:00,48867,48879,2,2,53216.0,Not VIP,12,4,26.3626,12,Yes,No,Yes,T3,T4,No,3,924,1,Yes,55287,2,"Shawls, scarves, mufflers, mantillas, veils and similar articles",197,1,17,Accessories,,0.0
392136,2018-01-01 23:16:30.323000+00:00,83846,83867,1,3,263817.0,Not VIP,24,3,0.0,24,Yes,No,Yes,T4,T4,No,4,1,1,Yes,94765,1635,"Coats: overcoats, raincoat, cape, cloaks and similar articles",18,1,63,Clothing,web,1.0
372319,2018-01-29 23:27:31.476000+00:00,103244,103266,2,2,253817.0,VIP,1,1,0.0,1,Yes,No,Yes,T1,T1,Yes,4,1,1,No,118252,62,Footwear with outer soles of rubber or plastics,79,26,239,Shoes,web,1.0
235612,2018-02-03 04:26:38.633000+00:00,105973,105995,2,2,2824.0,VIP New,1,1,20.9568,1,Yes,No,No,VIP,VIP,Yes,6,1,1,No,121612,33,Dresses,15,1,42,Clothing,,1.0
263499,2018-02-08 06:11:09.173000+00:00,74161,74179,2,2,188724.0,Not VIP,48,4,0.0,48,No,No,No,T3,T4,No,3,4185,1,No,128945,14,,330,20,55,Clothing,,0.0
194477,2018-01-26 20:35:10.600000+00:00,66907,66924,2,2,11054.0,VIP,3,2,0.0,3,No,No,No,T1,T1,No,4,1,1,No,85359,28,,2,1,3,Clothing,app,0.0
303205,2018-02-16 05:31:54.563000+00:00,130488,130518,2,2,213219.0,Not VIP,1,1,0.0,1,Yes,No,Yes,T4,,No,4,1,1,No,152101,70," T-shirts, singlets and other vests",1355,10,35,Clothing,web,0.0
372866,2018-01-20 01:49:54.836000+00:00,23707,23715,1,3,254085.0,Not VIP,14,3,0.0,14,Yes,No,No,T4,T4,No,3,1,1,Yes,25567,33,Other footwear with outer soles of leather,15,1,5,Shoes,web,1.0
259211,2018-02-07 12:49:02.533000+00:00,405,406,2,2,3860.0,VIP New,29,3,0.0,29,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,58653,5,Other footwear,190,1,38,Shoes,web,1.0
391666,2018-02-07 14:42:24.930000+00:00,6658,6662,2,2,23077.0,VIP New,12,4,40.404,12,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,135200,33,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",15,1,6,Accessories,web,1.0
171565,2018-01-23 00:22:52.416000+00:00,93638,93660,4,2,94786.0,Not VIP,2,1,42.2351,2,No,No,No,T4,T4,No,4,1,1,No,106433,54,Skirts,55,24,9,Clothing,web,0.0
127378,2018-01-15 10:53:14.223000+00:00,20532,20539,2,2,453.0,VIP New,21,2,32.0278,21,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,22035,92,Dresses,209,1,57,Clothing,app,0.0
236803,2018-02-03 11:08:37.553000+00:00,56514,56527,4,4,172218.0,Not VIP,7,1,0.0,7,No,No,No,T4,,No,3,1,0,Yes,62834,18,N/D,982,8,139,Shoes,web,0.0
116539,2018-01-13 07:25:38.473000+00:00,66610,66627,2,2,92444.0,Not VIP,16,4,34.1055,16,Yes,No,No,T4,T4,No,3,921,1,Yes,74529,76,Footwear with outer soles of rubber or plastics,38,1,28,Shoes,web,0.0
59030,2018-01-08 20:02:16.673000+00:00,153267,153300,2,2,50203.0,VIP New,25,3,0.0,25,Yes,No,Yes,VIP,VIP,Yes,6,1,1,No,180378,219,"Blouses, shirts and shirt-blouses",309,2,228,Clothing,,1.0
5979,2018-01-02 11:19:09.206000+00:00,7449,7454,2,2,5642.0,Not VIP,17,4,24.3652,17,Yes,No,Yes,T4,,Yes,3,1,1,Yes,7811,386,Footwear with outer soles of rubber or plastics,11,1,28,Shoes,web,0.0
401090,2018-01-21 12:48:44.866000+00:00,89404,89426,2,2,268064.0,Not VIP,9,3,0.0,9,No,No,No,,,No,3,1,1,No,101393,14,,561,20,42,Clothing,,1.0
78816,2018-01-10 08:08:54.833000+00:00,58184,58197,2,2,65254.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,,No,3,921,1,Yes,64753,173,"Handbags, whether or not with shoulder strap, including those without handle",192,1,17,Bags,,0.0
181675,2018-01-24 17:10:15.413000+00:00,112194,112220,5,2,97734.0,Not VIP,12,4,28.7029,12,Yes,No,No,T3,T3,No,3,1,1,Yes,129283,326,Other footwear with outer soles of leather,1165,1,5,Shoes,app,1.0
86782,2018-01-10 20:40:02.580000+00:00,7483,7488,1,3,71361.0,Not VIP,11,3,0.0,11,Yes,No,Yes,T4,,Yes,3,924,1,Yes,11715,528,"Coats: overcoats, raincoat, cape, cloaks and similar articles",139,2,3,Clothing,web,0.0
378188,2018-01-10 03:24:31.950000+00:00,52324,52336,2,2,256810.0,Not VIP,19,4,0.0,19,No,No,No,T4,T4,No,4,924,1,Yes,58014,14,,106,1,47,Clothing,web,1.0
312084,2018-02-18 02:55:57.913000+00:00,35721,35730,2,2,218505.0,Not VIP,1,1,0.0,1,Yes,No,No,T4,,No,3,1,1,Yes,39157,87,"Trousers, overalls, shorts",1201,1,63,Clothing,web,0.0
398966,2018-01-01 04:58:30.500000+00:00,32175,32184,2,2,32000.0,Not VIP,1,1,34.336,1,Yes,No,Yes,,,Yes,4,1,1,Yes,35132,46,Jackets and blazers,595,39,264,Clothing,web,1.0
311914,2018-02-18 01:50:57.340000+00:00,23490,23498,3,2,23469.0,VIP New,1,1,0.0,1,No,No,Yes,VIP,VIP,Yes,6,1,1,Yes,25314,90,Jackets and blazers,1175,2,46,Clothing,app,0.0
403680,2018-02-10 14:38:58.350000+00:00,91923,91945,2,2,126127.0,Not VIP,4,3,0.0,4,Yes,No,Yes,T4,T4,No,3,1,1,No,104350,296,Other,182,1,656,Jewellery,app,1.0
374910,2018-01-16 05:55:08.246000+00:00,33262,33271,2,2,23444.0,VIP New,2,1,32.2021,2,No,No,No,VIP,VIP,Yes,6,1,1,No,36385,14,Other footwear with outer soles of leather,11,1,12,Shoes,web,1.0
402005,2018-02-16 03:53:33.106000+00:00,10119,10125,2,2,268474.0,Not VIP,1,1,0.0,1,No,No,No,,,No,3,1,1,Yes,90343,84,Other footwear with outer soles of leather,86,1,31,Shoes,web,1.0
304542,2018-02-16 12:12:27.590000+00:00,6355,6359,2,2,214000.0,Not VIP,4,3,0.0,4,Yes,No,Yes,T4,,No,3,5082,1,No,6631,603,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",710,2,1,Accessories,web,0.0
200793,2018-01-28 01:08:28.470000+00:00,102330,102352,2,2,149512.0,Not VIP,3,2,0.0,3,Yes,No,Yes,T3,T4,Yes,3,1,1,Yes,117094,248,Shirts,138,4,21,Clothing,web,0.0
131084,2018-01-16 01:15:04.426000+00:00,80128,80147,2,2,14214.0,Not VIP,1,1,5.0083,1,Yes,No,No,T2,T2,No,4,1,1,Yes,90309,6," T-shirts, singlets and other vests",22,1,27,Clothing,app,0.0
400954,2018-01-21 04:53:37.910000+00:00,83084,83105,2,2,180531.0,VIP,1,1,5.0083,1,Yes,No,No,T2,T2,Yes,3,1,1,Yes,93877,807,Other footwear with outer soles of leather,349,1,30,Shoes,app,1.0
311800,2018-02-18 00:59:55.170000+00:00,131571,131601,5,2,218332.0,Not VIP,17,4,0.0,17,Yes,Yes,Yes,,,Yes,3,1,1,No,153462,60,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",62,4,24,Clothing,app,0.0
373153,2018-01-08 07:48:08.586000+00:00,68096,68113,2,2,254236.0,Not VIP,12,4,0.0,12,Yes,No,No,T2,T2,Yes,3,924,1,Yes,76250,1474,Other footwear with outer soles of leather,153,2,246,Shoes,,1.0
