orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
82450,2018-01-10 13:59:54.806000+00:00,53866,53878,2,2,29766.0,Not VIP,7,1,0.0,7,Yes,No,No,T2,T2,No,7,924,0,Yes,59797,25,"Trousers, overalls, shorts",22,6,599,Clothing,web,0.0
371317,2018-02-11 10:10:43.666000+00:00,122773,122802,1,3,198955.0,VIP New,4,3,0.0,4,Yes,No,No,VIP,VIP,Yes,6,3943,1,No,178621,277,"Blouses, shirts and shirt-blouses",249,12,3,Clothing,app,1.0
131988,2018-01-16 06:37:17.546000+00:00,63000,63016,2,2,103582.0,VIP,1,1,5.0083,1,Yes,No,Yes,T1,T1,Yes,6,1,1,No,70373,22,"Of base metal, whether or not plated with precious metal",520,1,17,Jewellery,web,0.0
129821,2018-01-15 19:48:05.716000+00:00,53179,53191,2,2,102069.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,Yes,4,1,1,Yes,58984,159,Footwear with outer soles of rubber or plastics,84,1,12,Shoes,app,0.0
153194,2018-01-19 18:17:25.266000+00:00,11707,11712,2,2,117992.0,VIP,1,1,5.0083,1,Yes,No,No,T2,T4,No,3,4,1,Yes,12370,14,Footwear with outer soles of leather or composition leather,438,1,31,Shoes,app,0.0
56220,2018-01-08 16:38:34.113000+00:00,943,945,4,2,8581.0,VIP,5,3,0.0,5,No,No,No,T1,T1,Yes,3,921,1,Yes,961,94,N/D,335,1,2,Clothing,web,0.0
238041,2018-02-03 16:03:36.993000+00:00,110907,110932,1,3,172965.0,Not VIP,4,3,0.0,4,Yes,No,No,T4,,No,3,1,1,No,127717,120,Babies' Outerwear,1214,32,285,Baby Boy Clothing,web,0.0
69943,2018-01-09 14:55:32.823000+00:00,15989,15996,5,2,58481.0,Not VIP,55,3,0.0,55,No,Yes,Yes,VIP,,No,4,924,1,No,23433,46,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",147,4,27,Clothing,web,0.0
373820,2018-01-11 16:34:59.596000+00:00,94318,94341,2,2,72933.0,Not VIP,4,3,0.0,4,Yes,No,No,T4,T4,Yes,3,924,1,Yes,32756,1438,,72,115,77,Shoes,web,1.0
174590,2018-01-23 14:30:10.043000+00:00,59846,59860,1,3,12405.0,Not VIP,9,3,0.0,9,Yes,No,No,T3,T4,No,3,1,1,Yes,66713,11,"Trousers, overalls, shorts",17,6,33,Clothing,web,1.0
