orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform,returned
80823,2018-01-10 11:38:48.903000+00:00,41987,41997,1,3,66803.0,Not VIP,14,3,0.0,14,No,No,No,T4,,No,3,1,1,No,46282,443,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",391,2,33,Clothing,web,0.0
398627,2018-02-12 02:36:17.256000+00:00,155083,155116,2,2,266932.0,Not VIP,1,1,12.6688,1,No,No,No,,,No,3,1,1,Yes,182572,14,,64,1,17,Bags,app,1.0
149734,2018-01-19 04:30:20.323000+00:00,86471,86493,3,4,115739.0,Not VIP,7,1,0.0,7,No,No,No,,,No,3,1,0,Yes,97891,862,Swimwear,746,8,146,Clothing,,0.0
214308,2018-01-30 12:47:43.716000+00:00,98778,98801,2,2,34999.0,VIP New,4,3,0.0,4,Yes,No,Yes,T1,T1,No,4,1,1,No,112749,309,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",1242,2,96,Clothing,app,0.0
375017,2018-01-31 14:40:26.986000+00:00,148804,148837,1,3,44560.0,Not VIP,14,3,0.0,14,Yes,No,Yes,T2,T2,No,4,1,1,No,174956,937,Jackets and blazers,559,21,13,Pre-Owned,app,1.0
157096,2018-01-20 12:45:08.963000+00:00,56,56,1,3,32263.0,VIP New,11,3,0.0,11,No,No,No,T2,T2,No,4,1,1,No,14079,46," T-shirts, singlets and other vests",86,4,264,Clothing,web,0.0
187178,2018-01-25 15:02:25.703000+00:00,85763,85785,2,2,105412.0,Not VIP,12,4,35.7236,12,Yes,Yes,Yes,VIP,VIP,Yes,6,1,1,No,97057,2,"Trousers, overalls, shorts",149,9,63,Clothing,app,0.0
377998,2018-01-30 04:34:14.030000+00:00,91408,91430,5,2,256699.0,Not VIP,1,1,0.0,1,Yes,No,Yes,,,No,3,1,1,No,103735,772,"Blouses, shirts and shirt-blouses",653,2,587,Clothing,,1.0
392811,2018-01-16 20:39:58.060000+00:00,6474,6478,2,2,40735.0,VIP New,46,4,5.008,46,Yes,No,Yes,VIP,VIP,No,6,1,1,Yes,6753,261,"Blouses, shirts and shirt-blouses",5,2,238,Clothing,app,1.0
175951,2018-01-23 18:43:35.686000+00:00,95016,95039,2,2,8029.0,VIP New,4,3,0.0,4,Yes,No,Yes,T1,T1,Yes,4,1,1,Yes,108140,5,"Coats: overcoats, raincoat, cape, cloaks and similar articles",22,1,19,Clothing,web,0.0
403279,2018-01-20 06:36:05.946000+00:00,81295,81315,2,2,269080.0,Not VIP,19,4,22.0668,19,Yes,No,No,T4,T4,No,2,1,1,No,91755,92,"Handbags, whether or not with shoulder strap, including those without handle",15,1,17,Bags,,1.0
389057,2018-01-02 22:58:35.956000+00:00,74067,74085,5,2,19259.0,Not VIP,4,3,0.0,4,Yes,No,No,T4,T4,No,3,1,1,Yes,83136,191,Skirts,210,2,222,Clothing,app,1.0
214890,2018-01-30 14:35:47.856000+00:00,87076,87098,2,2,79825.0,VIP,39,4,7.6715,39,Yes,No,No,T1,T1,No,3,1,1,No,98595,17,"Trousers, overalls, shorts",107,12,66,Clothing,,0.0
391430,2018-01-18 19:01:16.733000+00:00,21226,21233,1,6,119306.0,Not VIP,1,1,0.0,1,No,No,No,,,No,3,1,1,No,22800,28,N/D,46,40,429,Clothing,web,1.0
296976,2018-02-14 20:41:47.730000+00:00,3254,3257,2,2,209464.0,VIP,24,3,0.0,24,Yes,No,Yes,T2,T2,Yes,4,1,1,Yes,60276,84,N/D,22,20,29,Clothing,web,0.0
