id,ddpsubcategory,shiptypeid,hasitemsonbag,country
158194931648d6fceab0d27b183079fb,Footwear with outer soles of rubber or plastics,2,Yes,20
72ff9437af41aaf8afb716191869cff0,WEBSITE,WEBSITE,WEBSITE,WEBSITE
e9898c3c810a961fcd6e3e08a2ccbcb1,"Handbags, whether or not with shoulder strap, including those without handle",2,No,12
ea4ab6bed10e2f42eb7ea8a2b05ee917,WEBSITE,WEBSITE,WEBSITE,WEBSITE
f8f346c32711a0e010e952ef810009fd,Footwear with outer soles of rubber or plastics,2,Yes,3
77ef856513966ff07363932dffd142dc,Other footwear with outer soles of leather,2,Yes,3
5a067ac4d0ff4cbda536d47530f7f5a9,Other footwear,2,Yes,16
02925217c4600837afef63c889b4bf37," T-shirts, singlets and other vests",3,Yes,24
fc37033f20a23f1d2c5eec9a593418b3," T-shirts, singlets and other vests",3,Yes,24
3d5331792ef47237cdd913a5a6d3f431,API,API,API,API
c93cd9c4cb26609fc4d1578301b9957c,Other,2,No,12
340d76fcbfba52bc06bdf323503ef249,"Trousers, overalls, shorts",2,No,12
0e92e8c3152bc1c65cc373bf8d4ccaab,WEBSITE,WEBSITE,WEBSITE,WEBSITE
a533c972790b0fd1e9e6cbd0e289098e,,2,No,3
01c1f5bc3848adf36537a59a6fdaafa6," T-shirts, singlets and other vests",2,No,3
e3187a861177924246b0361f7749bc7a,,2,Yes,5
e37381254d584db631984a8ea66372b5,Dresses,2,Yes,5
209fb594e9789c0cb885c9d73906fc67,Other footwear,2,No,16
68d88ab4ae019d213a2ce86c2f706301,Other footwear with outer soles of leather,2,Yes,12
a2ac323f2f39689de1cb4306852a59b8,"Trousers, overalls, shorts",2,Yes,12
b677f08be6ad2f9793157174cf1f1c7b," T-shirts, singlets and other vests",2,Yes,12
1f39c07c339a9fedf8bb275da9f19856,Articles of apparel and clothing accessories,2,No,16
4e2bd4730e7cfeae2a16e4570e678e84,"Coats: overcoats, raincoat, cape, cloaks and similar articles",3,Yes,4
8a7b5e8f3bf40c878391605eea315970,"Trousers, overalls, shorts",2,No,24
00afce384540ce1ed5a4eafc36764159,Footwear with outer soles of rubber or plastics,2,Yes,5
28ae136b6a803eb29edd1cb1cf698c7b,Footwear with outer soles of rubber or plastics,2,Yes,5
135876a1d6b85be7ad12ba9946418357,Footwear with outer soles of rubber or plastics,2,No,17
06f4e0cc96b6a4d29a40580775288ebf,WEBSITE,WEBSITE,WEBSITE,WEBSITE
92ff69fa7b457b9d94d89c04f0b42042," T-shirts, singlets and other vests",3,Yes,4
8046ec866d88048a47e7ffafdfb9e24a,Items of leather clothing & accessories,2,Yes,4
b41921f19cf85c8f7f94e2f5c5c9c164,Other footwear with outer soles of leather,2,No,4
14a99a86a54b134f8052222127b442c9," T-shirts, singlets and other vests",3,No,24
2ee617fcb083d963bb3112e51611788f,Skirts,2,No,24
5fb20d44263eb3818bb0f22993faacc1,Jackets and blazers,2,No,16
432a4d5b28169546d7f952965f084edd," T-shirts, singlets and other vests",2,No,16
97ea7f74b33481d73527b1845e7d13ce,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",3,Yes,20
a19ea3b91b7aaba4c91c5d4586c8d0e8,"Trousers, overalls, shorts",3,Yes,20
0ef37031ca05ded6986381cf1ff1d4ff,WEBSITE,WEBSITE,WEBSITE,WEBSITE
224018b2bdd11b47663ffff6e157cd84,,3,Yes,20
344cd7b3f46503a43c5da437ee031ce4,WEBSITE,WEBSITE,WEBSITE,WEBSITE
a419df5b5ebc4043086b1e28dc55527c," T-shirts, singlets and other vests",3,Yes,20
8478941780a4fc605cdec46424d27bcc,N/D,3,Yes,20
d8aa47adfc92fd368cd22b6177ed0fa5,"Trousers, overalls, shorts",2,Yes,20
dea46a4f38b668b62990f52999540413,WEBSITE,WEBSITE,WEBSITE,WEBSITE
b3d6e3d66185e1547c0e5d199fd8880c,Shirts,3,Yes,20
13399d0c5bcad0de57e99b5a74f30247,,3,Yes,20
28b4f13fc6de1f9f32df0dce0b05eae8,,3,Yes,20
63a48bfa2f45766cf980e6ecaf24c57a,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,20
b2a70d95c2a4b165c0cd63cd7f952ef8,"Coats: overcoats, raincoat, cape, cloaks and similar articles",3,Yes,20
fb7cb3414f9cb0f7962069cb5750eebc,"Trousers, overalls, shorts",2,Yes,20
8367086e1f86524a947ff54f77d0a924,WEBSITE,WEBSITE,WEBSITE,WEBSITE
a4ee08038d8722bc938442f090d09a86," T-shirts, singlets and other vests",3,Yes,20
7a740a92fecdafea0b682a3248676f3b,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,1
fcd3121b343713767ab16371ac017805,Articles of apparel and clothing accessories,2,Yes,1
20a2c4ebac192419283c6d7fef0ed62b,,2,No,41
feb5162fbdf7e1ed6379ba95e953d01c,N/D,1,Yes,1
9c926c8729189f4e871a4fed07a012e5,N/D,2,Yes,3
98bcc090709d98402d172623970aa1ec,WEBSITE,WEBSITE,WEBSITE,WEBSITE
38a104138977426d2dd706cdb836df93,,3,No,9
9de7faa0f015ffcdcedf1b7d7405ebaf,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",3,No,9
7cfe1483e2cae095aed67fc0d1caf08c,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",3,No,36
de9beb32cae84a0585571cf5e8c7b965,N/D,1,Yes,35
12b931c1ff7bbb2653af0c6d6f019a28,WEBSITE,WEBSITE,WEBSITE,WEBSITE
62b2b4643c97bb5fed71f0bb1898f9f6,"Shawls, scarves, mufflers, mantillas, veils and similar articles",2,Yes,12
09559348ab4c41dddc39f6be1a1547fc,Other footwear with outer soles of leather,2,Yes,12
eaed123c57a26873d54db7a028118a3a,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",2,No,54
153a719109d5901f816d699f83ba381e,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",2,No,16
b419a41501bb26f4bc3d852c0096ba46,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,No,16
0d8f5f8b93367f1204d54ce42c064282," T-shirts, singlets and other vests",2,Yes,9
671293ef8ab87a5eb45c81955d3672cc," T-shirts, singlets and other vests",2,Yes,9
6711d7c8131ae88ea8f8137e8642c274,Jackets and blazers,2,Yes,4
018136d665bf6ec4ac33a99e2450da28,"Trousers, overalls, shorts",2,Yes,4
74f0f6937f6f4ff2564d729ee697837e,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",2,Yes,12
a01d67c7ebc300db100e5de1c3296ef8,"T-shirts, singlets and other vests",2,Yes,12
8d75be2183b4d51484fbe05a71a58888,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,12
cbd50311b4c3b17dbfd5b3ab0096c145,"T-shirts, singlets and other vests",2,Yes,12
421d91cd1f20d044be31c05a2908e03b,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2,Yes,12
1a71837cc53131ee11e4a774982094d6,Dresses,2,No,3
